Data,Demanda (MW)
13/01/2023,80.29
20/01/2023,83.811
27/01/2023,81.55
03/02/2023,80.501
10/02/2023,86.961
17/02/2023,76.914
24/02/2023,78.943
03/03/2023,84.269
10/03/2023,83.216
17/03/2023,73.291
24/03/2023,71.789
