Data,CMN (R$/MWh)
06/01/2023,67.13
13/01/2023,69.04
20/01/2023,69.04
27/01/2023,69.04
03/02/2023,69.04
10/02/2023,69.04
17/02/2023,69.04
24/02/2023,69.04
03/03/2023,69.04
10/03/2023,69.04
17/03/2023,69.04
24/03/2023,69.04
31/03/2023,69.04
